"Topic","Question","Correct_Answer","Common_Incorrect_Answer_Flag","Source"
"Physics","A uniform solid cylinder of mass M and radius R is released from rest on an incline of angle theta and rolls without slipping. (a) Find its linear acceleration. (b) The friction force acting on it is often called 'kinetic friction' by students. Explain rigorously what kind of friction acts here, how large it is, what its direction is, and whether it does net work on the cylinder. (c) Determine the minimum coefficient of static friction mu_s required for rolling without slipping.","Following Kleppner & Kolenkow, 'An Introduction to Mechanics', and Goldstein 'Classical Mechanics':
(a) Use Newton's law along the incline and torque about the center of mass. Let f be the friction force (up the incline). Translation: M a = M g sin(theta) - f. Rotation about CM: f R = I_cm alpha, with I_cm = (1/2) M R^2 and rolling constraint a = alpha R, so f = (1/2) M a. Substitute: M a = M g sin(theta) - (1/2) M a => (3/2) a = g sin(theta) => a = (2/3) g sin(theta).
(b) The friction is STATIC friction, not kinetic, because the contact point has zero instantaneous velocity relative to the surface (pure rolling). Its magnitude is f = (1/2) M a = (1/3) M g sin(theta), directed UP the incline. Static friction here does NO net work on the cylinder because it acts at the instantaneous contact point, which has zero velocity; the point of application has zero displacement per instant, so power P = f.v_contact = 0. Energy is conserved (it converts gravitational PE into translational + rotational KE without dissipation).
(c) Require f <= mu_s N = mu_s M g cos(theta). With f = (1/3) M g sin(theta): (1/3) M g sin(theta) <= mu_s M g cos(theta) => mu_s >= (1/3) tan(theta). So mu_s,min = (1/3) tan(theta).","The most common wrong answer treats the friction as KINETIC friction f = mu_k N and uses it to compute a = g sin(theta) - mu_k g cos(theta), and/or claims friction dissipates energy so mechanical energy is not conserved. This is wrong: in rolling without slipping the contact point is instantaneously at rest, so the friction is static and undetermined by mu*N (it is whatever is needed to enforce the constraint, here (1/3)Mg sin theta). Because the contact point has zero velocity, static friction does no work and mechanical energy IS conserved. A second common error is dropping the rotational inertia and getting a = g sin(theta), or using I = MR^2 (a hoop) instead of (1/2)MR^2.","Kleppner & Kolenkow - An Introduction to Mechanics; Goldstein - Classical Mechanics"
"Physics","One mole of an ideal monatomic gas at temperature T_0 and volume V_0 undergoes a free (Joule) expansion into vacuum, doubling its volume to 2V_0. Separately, the same initial state undergoes a reversible adiabatic expansion to 2V_0. For EACH process compute: the final temperature, the work done by the gas, the heat absorbed, and the change in entropy of the gas. Reconcile why the entropy change differs even though both are 'adiabatic' (Q = 0).","Following Fermi 'Thermodynamics' and Callen 'Thermodynamics and an Introduction to Thermostatistics':
FREE EXPANSION: The gas expands into vacuum so it does no work (W = 0) and is thermally isolated (Q = 0). By the first law dU = Q - W = 0, and for an ideal gas U depends only on T, so T_final = T_0 (temperature unchanged). Entropy change must be computed along a reversible path between the same endpoints (T_0,V_0)->(T_0,2V_0): dS = (dU/T) + (P/T)dV; at constant T, dS = nR dV/V, so Delta_S = R ln(2V_0/V_0) = R ln 2 > 0. Positive entropy: the process is irreversible.
REVERSIBLE ADIABATIC: Q = 0 and reversible, so Delta_S = 0. For a monatomic ideal gas gamma = 5/3. T V^(gamma-1) = const => T_final = T_0 (V_0/2V_0)^(gamma-1) = T_0 (1/2)^(2/3) = T_0 * 0.6300. Work done by gas equals -Delta_U: W = -Delta_U = -C_v (T_final - T_0) = (3/2)R (T_0 - T_final) = (3/2)R T_0 (1 - 0.6300) = (3/2)(0.3700) R T_0 = 0.555 R T_0 > 0. Heat Q = 0.
Reconciliation: Q = 0 for both, but Delta_S = Q_rev/T integrated along a REVERSIBLE path equals zero only for the reversible adiabat. The free expansion, though Q = 0, is irreversible; entropy is generated internally (not transported by heat), giving Delta_S = R ln 2 ~ 0.693 R > 0. 'Adiabatic' (Q=0) does not imply 'isentropic' unless the process is also reversible.","The classic mistake is to claim the free expansion cools the gas (applying T V^(gamma-1) = const, which is only valid for a reversible adiabat) or to assert Delta_S = 0 because Q = 0 for the free expansion. Both errors stem from confusing 'adiabatic' with 'isentropic'. T V^(gamma-1)=const requires reversibility; in free expansion the gas is not in equilibrium during the process. Entropy is a state function and must be computed along a reversible path; the free expansion gives Delta_S = R ln 2, not zero. Another error is asserting W != 0 for the free expansion (there is no external pressure to push against, so W = 0).","Fermi - Thermodynamics; Callen - Thermodynamics and an Introduction to Thermostatistics"
"Physics","A spaceship moves away from Earth at speed 0.6c. It emits a probe forward (toward a distant star, away from Earth) at speed 0.6c relative to the ship. The probe emits light of proper wavelength 500 nm. (a) What is the probe's speed relative to Earth? (b) What wavelength does an Earth observer measure for the probe's light (the probe recedes from Earth)? Use exact relativistic formulas.","Following Taylor & Wheeler 'Spacetime Physics' and Griffiths 'Introduction to Electrodynamics' (Ch.12):
(a) Relativistic velocity addition: u = (v + u')/(1 + v u'/c^2) with v = 0.6c, u' = 0.6c. u = (0.6c + 0.6c)/(1 + 0.36) = 1.2c/1.36 = 0.88235c. (Note it stays below c, unlike the Galilean 1.2c.)
(b) Relativistic Doppler for a receding source: lambda_obs = lambda_source * sqrt((1 + beta)/(1 - beta)) with beta = u/c = 0.88235. Compute (1+beta)/(1-beta) = 1.88235/0.11765 = 16.0000. sqrt(16) = 4.0000. So lambda_obs = 500 nm * 4 = 2000 nm.
Consistency check via composing Doppler factors: Earth-from-ship factor k1 = sqrt(1.6/0.4) = 2; ship-from-probe factor k2 = sqrt(1.6/0.4) = 2; total k = k1*k2 = 4, giving 2000 nm, confirming the result. Final: u = 0.882c, lambda_obs = 2000 nm (deep infrared).","A frequent error is Galilean velocity addition giving u = 1.2c (faster than light) — physically impossible; the relativistic formula caps it at 0.882c. A second error is using the classical (non-relativistic) Doppler formula lambda_obs = lambda(1 + beta) ~ 500*1.882 = 941 nm, which omits the time-dilation factor and is wrong for relativistic speeds. A subtler error is computing relativistic Doppler with the wrong sign (using the approaching formula sqrt((1-beta)/(1+beta)) and getting a blueshift to 125 nm) — the probe RECEDES from Earth, so the light must be redshifted.","Taylor & Wheeler - Spacetime Physics; Griffiths - Introduction to Electrodynamics"
"Physics","A point charge q is placed a distance d from the center of a grounded conducting sphere of radius a (with d > a). (a) Find the magnitude and sign of the total induced charge on the sphere. (b) Find the force on q. (c) Find the work needed to bring q from its position to infinity (the electrostatic energy of the configuration). Derive using the method of images.","Following Griffiths 'Introduction to Electrodynamics' (Sec. 3.2) and Jackson 'Classical Electrodynamics' (Sec. 2.2):
The image charge is q' = -(a/d) q located at distance b = a^2/d from the center, on the line joining center and q.
(a) For a grounded sphere the total induced charge equals the image charge: Q_induced = q' = -(a/d) q (opposite sign to q, magnitude (a/d)q).
(b) Force on q is the Coulomb attraction between q and its image, separated by distance d - b = d - a^2/d = (d^2 - a^2)/d. F = (1/(4 pi eps0)) * q*q' / (d - b)^2 = (1/(4 pi eps0)) * q*(-(a/d)q) / ((d^2-a^2)/d)^2 = -(1/(4 pi eps0)) * q^2 a d / (d^2 - a^2)^2. The negative sign indicates attraction toward the sphere.
(c) Energy: The work to remove q to infinity is NOT (1/2) integral of F because the image moves as q moves. The correct energy of the configuration is W = -(1/(4 pi eps0)) * q^2 a / (2 (d^2 - a^2)). Equivalently W = integral_{d}^{infinity} F dr (the work done by the real force on q as it goes to infinity, NO extra factor of 1/2); carrying out the integral of F(r) = -(1/(4 pi eps0)) q^2 a r/(r^2-a^2)^2 gives W = -(1/(4 pi eps0)) q^2 a / (2(d^2 - a^2)). The factor 1/2 instead appears when the same energy is written as W = (1/2) q V_image(at q): since q V_image(at q) = -(1/(4 pi eps0)) q^2 a/(d^2 - a^2) is twice W, we have W = (1/2) q V_image. This 1/2 reflects that as q is moved the image also moves, so the energy is NOT q*q'/(4 pi eps0 (d-b)).","The most common error is to compute the energy as if the image charge were a real fixed charge: W = (1/(4 pi eps0)) q q'/(d-b) WITHOUT the factor of 1/2, doubling the magnitude. The factor 1/2 is essential because as q is moved the image also moves, so the work integral of the actual force gives half the naive 'two-real-charges' interaction energy. Another error is forgetting that the induced charge magnitude is (a/d)q (not q) — students often assume the grounded sphere acquires charge -q. A sign error (treating the force as repulsive) is also common; it is always attractive.","Griffiths - Introduction to Electrodynamics; Jackson - Classical Electrodynamics"
"Physics","Two equal masses m are connected in a line by three identical springs of constant k: wall-spring-mass-spring-mass-spring-wall. (a) Find the normal mode frequencies and the corresponding mode shapes. (b) If at t=0 the left mass is displaced by A (right mass at rest, both velocities zero), find x1(t) and x2(t) and describe the energy-transfer (beating) behavior.","Following Goldstein 'Classical Mechanics' and French 'Vibrations and Waves':
Equations of motion: m x1'' = -k x1 + k(x2 - x1) = -2k x1 + k x2; m x2'' = -k x2 + k(x1 - x2) = -2k x2 + k x1.
(a) Seek x_i = a_i cos(omega t). The matrix eigenvalue problem [[2k - m w^2, -k],[-k, 2k - m w^2]] = 0 gives (2k - m w^2)^2 = k^2 => 2k - m w^2 = +/- k.
Symmetric mode (a1 = a2): 2k - m w^2 = k => omega_1 = sqrt(k/m). Both masses move together.
Antisymmetric mode (a1 = -a2): 2k - m w^2 = -k => omega_2 = sqrt(3k/m). Masses move oppositely.
(b) General solution: x1 = (A/2)[cos(omega_1 t) + cos(omega_2 t)], x2 = (A/2)[cos(omega_1 t) - cos(omega_2 t)] (chosen so x1(0)=A, x2(0)=0, velocities zero). Using sum-to-product: x1 = A cos((omega_2-omega_1)t/2) cos((omega_2+omega_1)t/2), x2 = A sin((omega_2-omega_1)t/2) sin((omega_2+omega_1)t/2). With omega_1 = sqrt(k/m), omega_2 = sqrt(3k/m), the slow beat frequency is (omega_2 - omega_1)/2 = (sqrt(3)-1)/2 * sqrt(k/m) ~ 0.366 sqrt(k/m). Energy sloshes completely back and forth between the two masses with this beat envelope; complete transfer occurs because amplitudes are equal.","A common error is to use a 2k+... wrong stiffness, e.g., writing m x1'' = -k x1 + k x2 (forgetting that the middle spring AND an end spring both act on each mass), which yields the wrong restoring term and incorrect frequencies sqrt(k/m) and sqrt(... ). Another frequent mistake is reporting omega_2 = sqrt(2k/m) instead of sqrt(3k/m) by dropping a spring, or treating the system as two independent oscillators (ignoring coupling) so no beating appears. Students also often forget that the initial-condition projection requires equal weights (A/2) on both modes to satisfy x2(0)=0.","Goldstein - Classical Mechanics; French - Vibrations and Waves"
"Physics","For an ideal gas obeying the Maxwell-Boltzmann speed distribution f(v) = 4 pi n (m/(2 pi k T))^(3/2) v^2 exp(-m v^2/(2kT)): (a) Derive the most probable speed v_p, the mean speed <v>, and the rms speed v_rms, and give their numerical ratios. (b) Explain physically why v_p < <v> < v_rms. (c) Compute v_rms for nitrogen (N2, M = 28 g/mol) at T = 300 K.","Following Reif 'Fundamentals of Statistical and Thermal Physics' and Halliday, Resnick & Walker:
(a) v_p: set df/dv = 0. d/dv [v^2 exp(-m v^2/2kT)] = 0 => 2v - v^2 (m v/kT) = 0 => v_p = sqrt(2kT/m).
<v> = integral_0^inf v f(v) dv / n = sqrt(8kT/(pi m)).
v_rms = sqrt(<v^2>) = sqrt(integral v^2 f dv / n) = sqrt(3kT/m).
Ratios: v_p : <v> : v_rms = sqrt(2) : sqrt(8/pi) : sqrt(3) = 1.414 : 1.596 : 1.732, i.e. v_p : <v> : v_rms = 1 : 1.128 : 1.225.
(b) Physically, the distribution is asymmetric (skewed to high v) because of the v^2 phase-space factor: there are more ways to have a given speed at higher v. v_p is the peak. <v> weights higher speeds more (linear weight). v_rms weights by v^2, emphasizing the high-speed tail even more, hence v_rms is largest. The ordering follows from the convexity/skew of f(v).
(c) v_rms = sqrt(3RT/M) with R = 8.314 J/(mol K), M = 0.028 kg/mol, T = 300 K. v_rms = sqrt(3 * 8.314 * 300 / 0.028) = sqrt(7482.6/0.028) = sqrt(267236) = 517 m/s. (Equivalently sqrt(3kT/m) with m = 4.65e-26 kg.)","A frequent error is to equate the three speeds or to use v_p = sqrt(kT/m) (dropping the factor 2 from the derivative) or v_rms = sqrt(2kT/m). Another mistake is mixing up which uses 2, 8/pi, and 3; e.g., reporting <v> = sqrt(3kT/m). For the numeric part, a common slip is using M = 14 g/mol (atomic N instead of molecular N2) giving ~730 m/s, or using k with molar mass / forgetting to convert grams to kg, producing answers off by sqrt(1000) ~ 31.6x.","Reif - Fundamentals of Statistical and Thermal Physics; Halliday, Resnick & Walker - Fundamentals of Physics"
"Physics","White light is incident normally on a thin soap film (n = 1.33) in air. (a) Derive the condition for constructive reflection and find the minimum nonzero film thickness that strongly reflects green light of wavelength 550 nm in vacuum. (b) A separate thin oil film (n = 1.45) sits on water (n = 1.33). Re-derive the constructive-reflection condition for this case and explain why it differs from the soap film case. Be explicit about phase changes on reflection.","Following Hecht 'Optics' and Halliday, Resnick & Walker:
Phase change of pi (half-wavelength) occurs on reflection when light goes from a lower to a higher index medium; no phase change low-to-high... precisely: a pi shift occurs when reflecting off a medium of HIGHER index.
(a) Soap film (air n=1, film n=1.33, air n=1): top reflection air->film is low-to-high => pi shift. Bottom reflection film->air is high-to-low => NO shift. Net relative extra phase from reflections = pi (half wavelength). Path difference in film = 2 n t. Constructive interference requires total phase difference = integer*lambda: 2 n t + lambda/2 = m lambda (the lambda/2 from the single pi shift) => 2 n t = (m - 1/2) lambda, i.e. 2 n t = (m + 1/2) lambda with m = 0,1,2... For the minimum nonzero thickness use the smallest term: 2 n t = lambda/2 => t = lambda/(4 n) = 550/(4*1.33) = 550/5.32 = 103.4 nm.
(b) Oil (n=1.45) on water (n=1.33): top reflection air(1.00)->oil(1.45) is low-to-high => pi shift. Bottom reflection oil(1.45)->water(1.33) is high-to-low => NO shift. So again only ONE pi shift => same form: 2 n_oil t = (m + 1/2) lambda. The condition has the SAME functional form as the soap film because in both cases exactly one of the two reflections has a pi shift. (It would DIFFER, becoming 2 n t = m lambda, only if BOTH or NEITHER reflection had a pi shift — e.g., oil with n between air and a higher-index substrate would give two shifts.) The key point is to count phase shifts at each interface, not to memorize a single formula.","The dominant error is to ignore the pi phase shift on reflection and use 2 n t = m lambda for constructive reflection, giving t = lambda/(2n) ~ 207 nm for the soap film (twice the correct value). Another error is assuming the oil-on-water case automatically uses the 'no net shift' condition 2nt = m lambda because 'there are two reflections' — but one must check the index ordering: here only the top interface gives a pi shift (oil>water at the bottom gives none), so the condition is unchanged. A third error is forgetting to use the wavelength IN the film vs in vacuum consistently (the formula 2nt uses the vacuum lambda with the n factor included).","Hecht - Optics; Halliday, Resnick & Walker - Fundamentals of Physics"
"Physics","A bead of mass m slides frictionlessly on a straight rigid wire that rotates in a horizontal plane about a fixed vertical axis through one end with constant angular velocity omega. Let r be the bead's distance from the axis. (a) Using the Lagrangian, find the equation of motion for r and solve it. (b) Is the bead's energy (kinetic) conserved? Is the Hamiltonian conserved? Are they equal? Explain the discrepancy, and find the radial force the wire exerts.","Following Goldstein 'Classical Mechanics' and Landau & Lifshitz 'Mechanics':
In the horizontal plane gravity is irrelevant. The bead position: x = r cos(omega t), y = r sin(omega t). Velocity squared: v^2 = r'^2 + r^2 omega^2 (with phi = omega t enforced). Lagrangian L = (1/2) m (r'^2 + r^2 omega^2) (no potential).
(a) Euler-Lagrange: d/dt(m r') - m r omega^2 = 0 => r'' - omega^2 r = 0. Solution r(t) = A e^(omega t) + B e^(-omega t); with r(0)=r0, r'(0)=v0: r(t) = r0 cosh(omega t) + (v0/omega) sinh(omega t). The bead flies outward exponentially (centrifugal driving). 
(b) Kinetic energy T = (1/2)m(r'^2 + r^2 omega^2) is NOT conserved — it grows without bound, because the motor maintaining constant omega does work on the bead through the constraint (the wire pushes sideways). The Hamiltonian: since L has no explicit time dependence (omega is a constant parameter and t enters only through the imposed phi=omega t which we substituted), H = p_r r' - L = (1/2) m r'^2 - (1/2) m omega^2 r^2 is conserved (it is a constant of motion, the 'Jacobi integral'). But H is NOT the energy: H = T - 2*(rotational part) because the kinetic energy is not a homogeneous quadratic in the generalized velocity r' (the constraint is rheonomic/time-dependent). The radial (along-wire) force is zero on a frictionless wire in the r-direction; the wire exerts a TRANSVERSE (sideways, Coriolis-balancing) force N = m a_phi. With phi = omega t, a_phi = r phi'' + 2 r' phi' = 2 omega r' (since phi''=0). So N = 2 m omega r' = 2 m omega [r0 omega sinh(omega t) + v0 cosh(omega t)] (the wire's normal reaction supplying the Coriolis term).","The most common error is to claim energy is conserved because 'there is no friction and no potential', and to identify the conserved Hamiltonian H with the kinetic energy. This fails because the constraint phi=omega t is time-dependent (rheonomic): the system is non-autonomous in the lab sense, kinetic energy increases as the motor does work, and H (the Jacobi integral) equals T - 2T_2... numerically H = (1/2)m r'^2 - (1/2)m omega^2 r^2, which is conserved but is NOT the energy. Another error is writing r'' + omega^2 r = 0 (a sign error giving oscillatory motion) instead of r'' - omega^2 r = 0 (exponential escape). A third error is forgetting the wire force is purely transverse and trying to assign a radial reaction.","Goldstein - Classical Mechanics; Landau & Lifshitz - Mechanics"
"Physics","A charged particle (charge q, mass m) moves in crossed uniform fields: E = E0 y_hat and B = B0 z_hat. It starts from rest at the origin. (a) Derive the trajectory x(t), y(t). (b) Show the motion is a cycloid and find the drift velocity. (c) What is the maximum y-displacement and the average velocity? Solve the coupled equations of motion exactly.","Following Griffiths 'Introduction to Electrodynamics' (Example 5.2) and Jackson:
Equations of motion: m x'' = q(E_x + (v x B)_x). With v = (x', y', 0), B = B0 z_hat: v x B = (y' B0, -x' B0, 0). With E = E0 y_hat:
m x'' = q B0 y'
m y'' = q E0 - q B0 x'
Define cyclotron frequency w = q B0/m. Then x'' = w y', y'' = (q E0/m) - w x'.
Let u = E0/B0 (drift speed). Solve: differentiate x'' = w y' => x''' = w y'' = w[(qE0/m) - w x'] = w^2(u - x'). Let s = x'. s'' + w^2 s = w^2 u => s = u + C cos(w t) + D sin(w t). Initial: x'(0)=0 => u + C = 0 => C = -u. x''(0) = w y'(0) = 0 => -C w sin... derivative s'(0)= D w = 0 => D = 0. So x' = u(1 - cos w t). Integrate: x(t) = u t - (u/w) sin(w t) = (E0/B0) t - (E0 m/(q B0^2)) sin(w t).
For y: y' = x''/w = (u w sin w t)/w = u sin(w t)... check: x'' = u w sin w t, and x''=w y' => y' = u sin w t. Integrate with y(0)=0: y(t) = (u/w)(1 - cos w t) = (E0 m/(q B0^2))(1 - cos w t).
(a)(b) These are the parametric equations of a CYCLOID, traced by a point on a wheel of radius R = u/w = E0 m/(q B0^2) rolling along the x-axis. The DRIFT velocity is v_drift = E0/B0 in the +x direction (i.e. (E x B)/B^2 = (E0 y_hat x B0 z_hat)/B0^2 = (E0/B0) x_hat). Note the drift is perpendicular to BOTH E and B and is independent of q, m, and sign of charge.
(c) Maximum y-displacement: y_max = 2u/w = 2 E0 m/(q B0^2) (top of the cycloid, when cos w t = -1). Average velocity over a cycle = drift velocity = E0/B0 in x; average y-velocity = 0.","A common error is to think the particle simply accelerates along E (the y-direction) indefinitely, ignoring that the magnetic force curves it back — missing the cycloidal drift entirely. Another error is to compute the E x B drift with the wrong direction or to make it depend on q/m (it does not; v_drift = E/B is universal). A frequent algebra error gives a circular rather than cycloidal path by mishandling the inhomogeneous term qE0. Some also give y_max = u/w (the radius) instead of 2u/w (the diameter, since the cycloid peaks at twice the rolling-circle radius). Sign errors in v x B (getting drift in -x) are also typical.","Griffiths - Introduction to Electrodynamics; Jackson - Classical Electrodynamics"
"Physics","A reversible Carnot engine operates between reservoirs at T_H = 600 K and T_C = 300 K and produces 1000 J of work per cycle. (a) Find its efficiency and the heat exchanged with each reservoir. (b) The SAME device is now run as a refrigerator (reversed) using that 1000 J of work to pump heat from the 300 K reservoir; find the coefficient of performance and the heat moved. (c) Now suppose instead a REAL engine between the same reservoirs absorbs the same Q_H but has efficiency 40%. Compute the entropy generated in the universe per cycle and the lost (unavailable) work.","Following Fermi 'Thermodynamics', Zemansky 'Heat and Thermodynamics', and Callen:
(a) Carnot efficiency eta = 1 - T_C/T_H = 1 - 300/600 = 0.5 (50%). W = eta Q_H => Q_H = W/eta = 1000/0.5 = 2000 J absorbed from hot reservoir. Q_C = Q_H - W = 2000 - 1000 = 1000 J rejected to cold reservoir. (Check entropy: Q_H/T_H = 2000/600 = 3.333 J/K = Q_C/T_C = 1000/300 = 3.333 J/K, balanced, reversible.)
(b) Reversed Carnot refrigerator: COP_ref = T_C/(T_H - T_C) = 300/300 = 1.0. With W = 1000 J input: Q_C(absorbed from cold) = COP*W = 1.0*1000 = 1000 J; Q_H(dumped to hot) = Q_C + W = 2000 J. (It exactly reverses part (a).)
(c) Real engine: Q_H = 2000 J (same intake), eta_real = 0.40 => W_real = 0.40*2000 = 800 J, Q_C,real = Q_H - W_real = 2000 - 800 = 1200 J. Entropy change of reservoirs: hot loses Q_H at T_H: Delta_S_H = -2000/600 = -3.333 J/K. Cold gains Q_C at T_C: Delta_S_C = +1200/300 = +4.000 J/K. Engine is cyclic (Delta_S_engine = 0). Entropy generated in universe = Delta_S_H + Delta_S_C = -3.333 + 4.000 = +0.667 J/K per cycle (>0, consistent with irreversibility). Lost (unavailable) work = T_C * Delta_S_universe = 300 * 0.667 = 200 J, which equals W_Carnot - W_real = 1000 - 800 = 200 J. Confirmed.","Common errors: (1) Computing COP of the refrigerator as 1/eta or as T_H/(T_H - T_C) (that is COP for a heat pump, = 2.0 here) instead of T_C/(T_H - T_C) = 1.0 for cooling. (2) Computing entropy generated using the engine's own (reversible) Carnot relation, getting zero, instead of using the ACTUAL heats of the real engine. (3) Sign error in Delta_S_H (forgetting the hot reservoir LOSES entropy). (4) Computing lost work with T_H instead of T_C in the Gouy-Stodola relation W_lost = T_C Delta_S_gen (the dead-state/coldest reservoir temperature must be used).","Fermi - Thermodynamics; Zemansky - Heat and Thermodynamics; Callen - Thermodynamics"
